-,-,-
155, 80, 1154
243, 208, 1471
240, 308, 1793
240, 308, 1793
550, 65, 1974
503, 43, 1972
269, 9, 1715
137, 70, 1652
173, 64, 1510
173, 64, 1510
316, -64, 984
-1, 30, 869
-93, -107, 427
-128, -85, 612
235, -262, 501
235, -262, 501
246, -313, 447
-14, -275, 223
-68, -302, 15
185, -373, 126
363, -377, 297
294, -330, 250
24, -238, 98
24, -238, 98
61, -207, 122
156, -160, 316
179, -111, 399
-58, 15, 346
-1, -100, 365
-1, -100, 365
204, -248, 629
172, -287, 872
26, -373, 986
-29, -516, 1022
117, -664, 1187
318, -751, 1469
381, -776, 1693
335, -804, 1496
151, -754, 1433
89, -808, 1282
89, -808, 1282
73, -839, 1193
137, -868, 1133
99, -825, 1149
55, -834, 1080
47, -872, 957
70, -889, 877
83, -843, 874
208, -784, 1025
208, -784, 1025
126, -590, 1157
34, -403, 1217
41, -307, 1143
104, -196, 1060
142, -63, 993
155, 77, 1044
209, 80, 968
274, 68, 940
274, 68, 940
326, 65, 947
381, 42, 929
343, 85, 872
343, 85, 872
247, 135, 781
185, 222, 846
277, 228, 959
236, 304, 1055
157, 336, 1109
24, 422, 1229
24, 422, 1229
-21, 459, 1319
108, 368, 1446
125, 242, 1442
26, 132, 1276
-33, -77, 996
-47, -259, 887
-47, -259, 887
175, -591, 713
228, -829, 610
159, -1050, 296
60, -1242, 0
75, -1367, -135
136, -1326, 38
225, -1281, 324
122, -1243, 207
-14, -1121, 104
38, -1121, 299
38, -986, 299
114, -903, 429
137, -849, 340
40, -758, 131
-33, -592, 171
109, -403, 524
278, -194, 1024
292, -48, 1195
292, -48, 1195
145, 190, 1312
202, 331, 1691
355, 280, 1781
438, 237, 1767
516, 132, 1716
613, -4, 1579
579, -49, 1421
467, -104, 1327
467, -104, 1327
-,-,-
174, -141, 808
329, -139, 927
206, -65, 1086
141, 89, 1422
141, 89, 1422
315, 88, 1944
278, 143, 1992
133, 200, 1917
151, 147, 1762
142, 86, 1578
244, -9, 1388
244, -9, 1388
198, -97, 970
217, -239, 699
190, -305, 593
164, -329, 599
78, -281, 543
-58, -244, 418
-198, -212, 275
-198, -212, 275
