-,-,-
102, 20, 1018
78, -20, 984
63, 44, 1025
80, 47, 1015
80, 45, 1005
80, 45, 1005
81, 53, 980
57, 70, 975
55, 29, 976
55, 29, 976
84, 7, 989
101, 14, 982
101, 14, 982
111, 16, 962
99, -3, 959
85, 1, 974
85, 1, 974
98, 1, 977
131, -37, 1009
174, -119, 1005
202, -176, 1021
216, -214, 1049
216, -214, 1049
248, -205, 1113
237, -155, 1210
221, -145, 1316
206, -157, 1410
180, -159, 1495
98, -98, 1534
70, 33, 1522
63, 195, 1451
61, 360, 1363
61, 360, 1363
65, 462, 1342
110, 479, 1351
175, 519, 1347
185, 567, 1276
113, 554, 1183
34, 482, 1106
10, 466, 1040
10, 466, 1040
-9, 434, 967
-16, 431, 883
-55, 368, 820
-98, 348, 747
-98, 348, 747
-127, 326, 672
-108, 309, 615
-66, 320, 590
-77, 226, 586
-102, 92, 600
-100, 81, 594
-100, 81, 594
-73, 31, 560
-86, -10, 534
-85, -76, 494
-69, -131, 469
-37, -135, 446
-41, -164, 461
-41, -164, 461
-76, -231, 472
-101, -308, 460
-136, -360, 536
-123, -350, 608
-88, -349, 679
-80, -407, 756
-88, -392, 852
-76, -351, 892
-48, -357, 890
-48, -357, 890
-18, -357, 968
1, -323, 1049
14, -245, 1084
55, -250, 1089
126, -238, 1127
176, -136, 1171
217, -89, 1172
229, -93, 1136
250, -6, 1045
250, -6, 1045
297, 107, 939
347, 204, 889
384, 253, 1003
413, 238, 1161
411, 214, 1260
439, 225, 1281
439, 225, 1281
484, 242, 1270
473, 169, 1267
374, 90, 1315
287, 99, 1444
323, 176, 1480
417, 232, 1404
448, 246, 1267
448, 246, 1267
428, 274, 1126
354, 293, 1053
337, 327, 1041
381, 407, 1043
388, 421, 1055
347, 381, 1084
293, 308, 1157
266, 320, 1223
297, 292, 1391
297, 292, 1391
333, 183, 1669
351, 126, 1806
342, 172, 1738
314, 219, 1553
300, 312, 1352
280, 399, 1143
235, 471, 994
235, 471, 994
201, 569, 840
159, 654, 711
111, 677, 603
64, 621, 554
28, 523, 565
28, 523, 565
36, 519, 564
68, 559, 558
56, 520, 573
41, 411, 601
41, 411, 601
0, 297, 641
-6, 210, 652
-4, 128, 650
-4, 128, 650
2, 57, 649
22, -51, 577
-3, -85, 520
-3, -85, 520
-21, -139, 422
-39, -178, 369
-42, -225, 385
-28, -284, 397
-40, -317, 439
-48, -309, 458
-48, -309, 458
-26, -343, 498
-41, -443, 667
-80, -448, 868
-88, -446, 990
-59, -484, 1010
28, -494, 1003
90, -408, 1021
117, -306, 1022
163, -345, 1041
209, -422, 1102
229, -404, 1225
229, -404, 1225
169, -346, 1254
135, -347, 1312
195, -361, 1323
294, -210, 1259
371, 82, 1148
437, 321, 1042
467, 464, 1101
501, 538, 1213
567, 597, 1262
593, 539, 1206
593, 539, 1206
533, 385, 1183
383, 210, 1196
312, 95, 1256
303, -56, 1294
313, -192, 1285
316, -209, 1282
311, -189, 1274
359, -96, 1276
448, 18, 1262
448, 18, 1262
503, 87, 1259
504, 140, 1302
492, 184, 1378
477, 215, 1436
451, 195, 1451
399, 175, 1461
351, 199, 1452
351, 199, 1452
328, 245, 1384
314, 333, 1326
328, 423, 1268
330, 530, 1173
318, 609, 1087
282, 637, 976
249, 645, 893
249, 645, 812
254, 650, 812
251, 639, 718
219, 612, 630
178, 556, 581
131, 463, 566
101, 383, 559
101, 383, 559
67, 293, 531
46, 215, 505
44, 113, 434
28, 37, 389
28, 37, 389
8, -3, 348
-9, -71, 333
-9, -71, 333
-10, -173, 344
-23, -293, 392
-16, -388, 447
-32, -441, 477
-75, -492, 514
-100, -501, 559
-105, -482, 607
-83, -448, 626
-83, -448, 626
-39, -383, 682
-15, -384, 790
-6, -469, 856
-22, -472, 897
48, -330, 905
82, -246, 983
115, -313, 1100
115, -313, 1100
158, -257, 1266
203, -99, 1344
232, -9, 1373
267, -28, 1372
233, -23, 1331
198, 72, 1245
203, 158, 1180
208, 118, 1201
208, 118, 1201
253, 88, 1208
306, 110, 1197
344, 124, 1175
376, 82, 1170
435, 42, 1119
423, 17, 1058
395, 20, 1038
395, 20, 1038
414, 15, 1019
495, 48, 998
545, 46, 976
480, 4, 984
480, 4, 984
409, -23, 1035
385, -38, 1098
400, -6, 1164
394, 37, 1177
394, 37, 1177
351, 59, 1228
290, 93, 1352
273, 179, 1477
305, 304, 1578
352, 403, 1649
395, 470, 1676
452, 520, 1637
452, 520, 1637
522, 612, 1547
545, 703, 1399
486, 770, 1238
421, 790, 1117
348, 747, 1030
292, 715, 958
254, 723, 926
254, 723, 926
219, 740, 843
181, 755, 795
169, 759, 757
143, 724, 708
92, 651, 690
92, 651, 690
61, 579, 616
54, 533, 537
49, 476, 463
21, 346, 383
21, 346, 383
-7, 259, 330
15, 195, 291
24, 132, 312
24, 132, 312
19, 26, 370
-8, -95, 401
-19, -132, 417
30, -211, 487
30, -211, 487
35, -332, 601
36, -384, 647
18, -421, 623
3, -374, 602
12, -397, 652
12, -397, 652
11, -504, 764
40, -532, 834
81, -448, 850
33, -359, 925
-91, -405, 1015
-137, -473, 1078
-221, -458, 1212
-225, -344, 1331
-204, -162, 1423
-160, -89, 1464
-160, -89, 1464
-81, -90, 1463
34, -59, 1392
112, 116, 1240
148, 274, 1111
159, 243, 1042
165, 112, 1006
141, 17, 988
76, 8, 930
76, 8, 930
62, -21, 902
74, -92, 925
74, -92, 925
110, -136, 901
89, -145, 883
89, -192, 897
107, -241, 966
172, -221, 1012
200, -164, 1070
211, -136, 1106
211, -136, 1106
279, -43, 1141
317, -31, 1147
315, -7, 1118
271, 17, 1152
290, 30, 1185
331, 16, 1202
370, 30, 1179
370, 30, 1179
386, 61, 1149
362, 36, 1177
353, 27, 1255
384, 90, 1335
413, 201, 1401
413, 201, 1401
406, 304, 1479
390, 366, 1554
400, 438, 1577
397, 501, 1563
370, 533, 1529
344, 562, 1433
300, 586, 1361
249, 609, 1280
249, 609, 1280
209, 615, 1181
155, 599, 1107
117, 571, 1030
106, 585, 935
74, 574, 837
8, 518, 773
8, 518, 773
-31, 452, 671
-35, 455, 566
-46, 448, 494
-56, 387, 460
-56, 387, 460
-57, 327, 411
-57, 268, 391
-31, 228, 348
-15, 183, 342
-28, 117, 363
-28, 117, 363
-28, 56, 404
14, -94, 375
0, -218, 524
28, -364, 565
28, -364, 565
-8, -449, 642
15, -484, 599
63, -484, 548
142, -521, 530
144, -557, 520
58, -546, 547
58, -546, 547
-10, -575, 586
-63, -584, 691
-89, -593, 829
-88, -629, 941
-101, -634, 1074
-79, -539, 1151
11, -388, 1175
104, -263, 1240
184, -211, 1397
248, -199, 1518
301, -137, 1559
301, -137, 1559
336, 16, 1497
372, 153, 1387
353, 217, 1292
313, 267, 1278
305, 298, 1278
330, 325, 1263
321, 424, 1264
316, 446, 1206
316, 446, 1206
