-,-,-
137, 83, 1013
142, 72, 991
25, 65, 923
99, 92, 905
99, 92, 905
191, 164, 1248
275, 262, 1583
235, 452, 1947
75, 679, 1998
60, 621, 1998
60, 621, 1998
61, 489, 1998
146, 285, 1965
198, 176, 1761
156, 75, 1421
16, 27, 1000
16, 27, 1000
-31, -5, 514
156, -50, 349
274, -80, 244
121, -71, -186
97, -146, -353
97, -146, -353
83, -169, -422
244, -199, -282
381, -209, 71
170, -155, 124
-57, -149, -27
-161, -96, 77
-178, 0, 319
-178, 0, 319
-134, 27, 404
-129, 16, 524
-135, 0, 588
-162, -23, 540
-78, -24, 700
-78, -24, 700
-138, -28, 910
-192, -155, 935
-350, -163, 953
-199, -229, 1060
15, -280, 1494
45, -332, 1739
-39, -319, 1869
6, -399, 1860
28, -419, 1881
28, -419, 1881
94, -418, 1872
283, -497, 1859
300, -512, 1828
188, -513, 1588
57, -523, 1399
9, -544, 1280
2, -534, 1173
6, -493, 1172
6, -493, 1172
-57, -431, 1044
-221, -318, 969
-201, -271, 855
-46, -252, 832
87, -155, 817
96, -53, 772
66, 23, 626
66, 23, 626
111, 131, 646
281, 246, 819
275, 390, 965
167, 499, 962
167, 499, 962
151, 529, 967
198, 548, 1083
269, 534, 1136
206, 568, 1150
73, 633, 1028
106, 653, 998
106, 653, 998
174, 694, 1102
215, 720, 1105
184, 794, 1162
125, 898, 1265
111, 880, 1312
-48, 776, 1142
-124, 616, 1102
-86, 400, 1059
-86, 400, 1059
-213, 241, 864
-194, -93, 797
-162, -516, 681
-135, -858, 342
205, -1283, 240
479, -1608, 196
555, -1789, 182
394, -1728, 139
275, -1640, 166
186, -1515, 208
84, -1381, 134
22, -1227, 148
-9, -1086, 135
-9, -1086, 135
-10, -1023, 120
69, -1017, 83
56, -877, 107
50, -712, 197
14, -576, 137
-16, -394, 106
-16, -394, 568
-57, 27, 568
77, 347, 1279
81, 497, 1569
17, 623, 1696
277, 600, 1931
457, 574, 1998
457, 574, 1998
382, 449, 1952
285, 291, 1612
344, 172, 1491
388, 51, 1369
423, -43, 1184
438, -119, 1119
436, -119, 1093
