-,-,-
-39, 37, 1040
-37, 23, 1035
-64, -36, 1025
-80, -21, 901
-37, -14, 951
206, 50, 1114
1146, 817, 1348
1146, 817, 1348
1997, 1973, 1632
1998, 1997, 1955
1998, 1985, 1989
1998, 708, 1427
1598, -1693, 526
-897, -1998, -792
-1998, -1998, -822
-1993, -1998, -1392
-1056, -1276, -870
94, -204, 327
618, 240, 1151
801, 481, 1540
801, 481, 1540
764, 399, 1622
818, 267, 1745
816, 154, 1816
645, 15, 1444
503, 7, 1176
462, 42, 1068
462, 42, 1068
474, 145, 989
503, 234, 1057
-,-,-
48, -70, 938
215, 43, 906
568, 369, 1387
998, 1038, 1616
1415, 1613, 1802
1805, 1957, 1998
1996, 1997, 1974
1998, 1722, 1645
1958, 484, 1134
1958, 484, 1134
1370, -1031, 531
462, -1929, -211
-717, -1998, -624
-1522, -1998, -651
-1011, -1998, 59
-373, -1974, 189
248, -1429, 419
795, -818, 928
795, -818, 928
1105, -468, 1160
1328, -134, 1364
-,-,-
323, 37, 995
868, 530, 1035
1640, 1164, 1573
1982, 1377, 1992
1998, 1439, 1942
1892, 978, 1487
1369, 207, 968
777, -612, 549
213, -1555, 266
-170, -1998, 293
-607, -1998, 121
-999, -1998, 113
-1201, -1998, 142
-1091, -1998, 216
-777, -1947, 437
-396, -1501, 488
-97, -1452, 657
228, -1365, 824
549, -1118, 810
-,-,-
216, -45, 999
218, 78, 968
218, 78, 968
435, 172, 1226
690, 395, 1432
853, 541, 1468
984, 587, 1558
1030, 549, 1539
968, 429, 1436
968, 429, 1436
849, 235, 1291
688, 153, 1002
460, 44, 611
247, -272, 363
-20, -971, 294
-302, -1644, 535
-606, -1978, 394
-873, -1998, 228
-953, -1998, 451
-899, -1998, 557
-687, -1947, 521
-381, -1477, 474
-97, -1230, 584
207, -1050, 884
449, -768, 951
711, -361, 1042
711, -361, 1042
1021, 196, 1314
1121, 538, 1420
1149, 739, 1420
-,-,-
12, -188, 950
12, -188, 950
28, -141, 941
104, -93, 1004
264, -10, 1112
492, 191, 1306
714, 455, 1428
877, 671, 1510
975, 752, 1559
975, 752, 1559
978, 620, 1521
922, 436, 1336
761, 195, 1056
546, -45, 737
313, -418, 438
35, -942, 294
-185, -1417, 492
-443, -1734, 517
-707, -1943, 359
-863, -1998, 402
-894, -1998, 563
-836, -1884, 531
-666, -1461, 444
-432, -1172, 489
-199, -1077, 637
8, -993, 780
8, -993, 780
203, -820, 824
375, -612, 809
559, -410, 901
800, -121, 1122
-,-,-
67, -210, 1171
67, -210, 1171
244, -63, 1151
499, 225, 1137
808, 606, 1386
1060, 808, 1632
1224, 874, 1749
1288, 793, 1704
1185, 472, 1462
933, 55, 1186
538, -454, 775
28, -1083, 250
28, -1083, 250
-474, -1800, 135
-912, -1998, 135
-1203, -1998, 149
-1276, -1998, 160
-1163, -1998, 227
-588, -1242, 306
-331, -1052, 484
-110, -933, 617
-110, -933, 617
69, -887, 743
244, -826, 891
439, -593, 995
613, -297, 1041
824, 107, 1166
1039, 546, 1460
1135, 843, 1772
-,-,-
277, 43, 1169
476, 309, 1258
476, 309, 1258
770, 614, 1352
947, 714, 1542
1002, 622, 1585
